estado_accion,estado_velocidad,frase,accion,velocidad
prendida,rapido,a velocidad normal ya.,null,normal
adelante,detenida,a velocidad normal en este momento,adelante,normal
prendida,detenida,desactivate ahora,apagar,detenida
prendida,rapido,con calma de inmediato,null,lenta
adelante,normal,silla derecha,adelante + derecha,normal
prendida,detenida,pa enfrente,adelante,null
prendida,detenida,rueda hacia adelante rapido,adelante,rapido
prendida,detenida,Para Enfrente,adelante,null
derecha,rapido,velocidad normal en friega,derecha,normal
apagado,detenida,arranca en corto,prender,detenida
prendida,detenida,vamos adelante!,adelante,null
prendida,detenida,avanza,adelante,null
adelante,rapido,mas lento,adelante,lenta
prendida,detenida,apaguete,apagar,detenida
prendida,rapido,reduce la velocidad en este momento,null,lenta
adelante + izquierda,rapido,dErecHa yA,adelante,rapido
adelante,rapido,deRecha,adelante + derecha,rapido
adelante,normal,silla izquierda,adelante + izquierda,normal
prendida,detenida,muevete adelante,adelante,null
adelante + derecha,normal,para enfrente,adelante,normal
adelante + izquierda,rapido,muevete adelante,adelante,rapido
adelante,lenta,IZQUIERDA YA,adelante + izquierda,lenta
adelante,lenta,gira a la izquierda!,adelante + izquierda,lenta
adelante + izquierda,rapido,gira a la derecha,adelante,rapido
prendida,detenida,Echale Para Enfrente,adelante,null
adelante,normal,izquierda,adelante + izquierda,normal
adelante,rapido,silla derecha,adelante + derecha,rapido
prendida,detenida,adelantate con calma,adelante,lenta
prendida,detenida,mete mas velocidad,null,rapido
adelante + izquierda,normal,derecha,adelante,normal
derecha,rapido,velocidad normal en friega?,derecha,normal
prendida,lenta,A Velocidad Normal De Una,null,normal
prendida,detenida,vamos adelante,adelante,null
adelante + izquierda,normal,silla adelante!,adelante,normal
adelante + izquierda,rapido,derecha,adelante,rapido
adelante,normal,izquierda ya,adelante + izquierda,normal
prendida,detenida,echale de frente con cuidado,adelante,lenta
adelante,lenta,a la izquierda,adelante + izquierda,lenta
prendida,detenida,ruEdA dE fRentE,adelante,normal
adelante + derecha,normal,silla izquierda,adelante,normal
adelante + izquierda,lenta,SILLA ADELANTE!,adelante,lenta
adelante + derecha,lenta,izquierda,adelante,lenta
adelante,lenta,derecha ya,adelante + derecha,lenta
adelante,detenida,No Tan Rapido De Inmediato,adelante,lenta
apagado,detenida,arranca en corto,prender,detenida
prendida,rapido,normal ya,null,normal
adelante,lenta,velOcIDAD normal en eSte mOmenTo,adelante,normal
prendida,detenida,para enfrente!!,adelante,null
prendida,detenida,muevete para enfrente mas rapido??,adelante,rapido
adelante + derecha,normal,gira a la izquierda,adelante,normal
adelante + derecha,normal,izquierda ya!!,adelante,normal
prendida,detenida,da vuelta para la izquierda tranqui,izquierda,lenta
prendida,detenida,continua para adelante apurate,adelante,rapido
prendida,detenida,Muevete Adelante,adelante,null
izquierda,detenida,Con Calma Ahora!,izquierda,lenta
adelante + izquierda,rapido,a la deRecHa,adelante,rapido
prendida,detenida,de frente con calma,adelante,lenta
prendida,detenida,muevete para adelante suavecito,adelante,lenta
adelante,rapido,voltea a la derecha??,adelante + derecha,rapido
adelante + izquierda,normal,a la derecha,adelante,normal
prendida,detenida,PARA ENFRENTE,adelante,null
adelante,detenida,derecha ya!!,adelante + derecha,detenida
prendida,detenida,voltea al lado derecho despacio,derecha,lenta
apagado,detenida,activate en corto,prender,detenida
adelante,normal,con mas velocidad en corto,adelante,rapido
prendida,normal,bajale la velocidad de inmediato...,null,lenta
prendida,detenida,dale adelante,adelante,null
prendida,rapido,MAS RAPIDO DE UNA,null,rapido
apagado,detenida,activate,prender,detenida
adelante,normal,con calma de inmediato,adelante,lenta
prendida,detenida,DESACTIVATE AHORA,apagar,detenida
prendida,rapido,para enfrente,adelante,null
adelante + izquierda,normal,derecha ya,adelante,normal
adelante + derecha,normal,adelante,adelante,normal
prendida,normal,echale para enfrente...,adelante,null
prendida,detenida,apaguete,apagar,detenida
prendida,detenida,dE frentE apurAte,adelante,rapido
adelante,lenta,izquierda,adelante + izquierda,lenta
prendida,detenida,Silla Adelante,adelante,null
adelante,rapido,derecha ya,adelante + derecha,rapido
prendida,detenida,apaga de una,apagar,detenida
prendida,detenida,arrancate para enfrente a velocidad normal...,adelante,normal
prendida,detenida,gira para la derecha mete velocidad,derecha,rapido
prendida,detenida,da vuelta hacia la izquierda con cuidado,izquierda,lenta
prendida,detenida,arrancate derecho...,adelante,normal
adelante + derecha,lenta,echale para enfrente,adelante,lenta
adelante,rapido,no tan rapido en este momento,adelante,lenta
prendida,normal,muevete adelante,adelante,null
adelante + derecha,detenida,muevete adelante,adelante,detenida
adelante + derecha,normal,GIRA A LA IZQUIERDA...,adelante,normal
prendida,detenida,apaga!,apagar,detenida
prendida,detenida,NORMAL YA,null,normal
prendida,detenida,Desactivate De Una,apagar,detenida
prendida,detenida,bajale la velocidad ya,null,lenta
prendida,detenida,dA vueltA Para la izqUieRDa,izquierda,normal
prendida,detenida,dereCha,derecha,null
adelante,rapido,silla derecha,adelante + derecha,rapido
adelante,normal,DERECHA,adelante + derecha,normal
derecha,rapido,no tan rapido de inmediato!,derecha,lenta
adelante,rapido,NORMAL EN FRIEGA,adelante,normal
prendida,detenida,para adelante a velocidad normal,adelante,normal
adelante + izquierda,lenta,derecha ya,adelante,lenta
prendida,normal,Reduce La Velocidad En Este Momento,null,lenta
prendida,detenida,adelantate,adelante,normal
prendida,detenida,para enfrente lento,adelante,lenta
adelante,normal,a la izquierda...,adelante + izquierda,normal
apagado,detenida,prende de una,prender,detenida
prendida,detenida,muevete de frente apurate,adelante,rapido
prendida,detenida,izquierda ya...,izquierda,null
prendida,detenida,voltea a la derecha con cuidado,derecha,lenta
adelante + derecha,rapido,GIRA A LA IZQUIERDA,adelante,rapido
adelante,lenta,derecha,adelante + derecha,lenta
prendida,rapido,ve despacio en corto.,null,lenta
prendida,detenida,silla apagate,apagar,detenida
adelante + izquierda,lenta,derecHa ya,adelante,lenta
prendida,detenida,ruEda PaRA adELante Mete velociDad,adelante,rapido
prendida,normal,con mas velocidad de inmediato,null,rapido
adelante + derecha,rapido,vamos adelante,adelante,rapido
prendida,detenida,derecha.,derecha,null
prendida,detenida,duerme,apagar,detenida
prendida,detenida,ve de frente,adelante,normal
prendida,normal,Muevete Adelante?,adelante,null
adelante,normal,voltea a la izquierda,adelante + izquierda,normal
adelante,detenida,Mas Rapido Ahorita,adelante,rapido
adelante + izquierda,detenida,derecha ya,adelante,detenida
prendida,normal,con mas velocidad ahorita,null,rapido
prendida,detenida,descansa,apagar,detenida
adelante + izquierda,normal,dale adelante.,adelante,normal
prendida,detenida,arrancate al frente rapido,adelante,rapido
adelante,lenta,ve despacio en este momento,adelante,lenta
prendida,detenida,arrancate derecho suavecito,adelante,lenta
adelante,normal,modo normal ya,adelante,normal
adelante,detenida,baja la velocidad,adelante,lenta
prendida,detenida,Adelante,adelante,null
adelante,lenta,Manten Velocidad Normal Ahorita,adelante,normal
derecha,lenta,mas lento de una,derecha,lenta
prendida,rapido,mas rapido,null,rapido
prendida,detenida,Ve De Frente Despacito?,adelante,lenta
apagado,detenida,arranca,prender,detenida
adelante,detenida,desacelera de inmediato,adelante,lenta
apagado,detenida,prende la silla,prender,detenida
adelante,rapido,GIRA A LA IZQUIERDA,adelante + izquierda,rapido
prendida,detenida,cierra ahorita,apagar,detenida
prendida,detenida,normal en friega!,null,normal
adelante + izquierda,detenida,silla derecha,adelante,detenida
prendida,detenida,hacia adelante despacio,adelante,lenta
prendida,detenida,silla izquierda,izquierda,null
prendida,detenida,adelante,adelante,null
adelante,detenida,mas rapido en corto,adelante,rapido
prendida,detenida,Apaguete,apagar,detenida
adelante,lenta,silla izquierda,adelante + izquierda,lenta
prendida,detenida,izquierda,izquierda,null
prendida,detenida,echale al frente apurate,adelante,rapido
prendida,detenida,Pa Enfrente,adelante,null
izquierda,detenida,mas rapido,izquierda,rapido
prendida,detenida,adelante.,adelante,null
derecha,normal,VELOCIDAD NORMAL EN ESTE MOMENTO,derecha,normal
prendida,detenida,Muevete Para La Izquierda,izquierda,normal
prendida,detenida,dale adelante,adelante,null
prendida,detenida,adelante modo normal?,adelante,normal
prendida,detenida,Ve HacIa ADelante con calma,adelante,lenta
prendida,detenida,silla adelante,adelante,null
prendida,detenida,dale adelante velocidad normal,adelante,normal
prendida,detenida,dale de frente tranqui,adelante,lenta
adelante + derecha,detenida,silla izquierda,adelante,detenida
adelante,rapido,reduce velocidad...,adelante,lenta
prendida,detenida,reduce la velocidad en corto...,null,lenta
prendida,rapido,silla adelante,adelante,null
prendida,rapido,avanza,adelante,null
adelante,normal,voltea a la derecha,adelante + derecha,normal
prendida,detenida,Dobla Para La Izquierda A Velocidad Normal?,izquierda,normal
adelante + derecha,lenta,izquierda,adelante,lenta
adelante + izquierda,normal,derecha,adelante,normal
adelante,normal,izquierda ya!,adelante + izquierda,normal
adelante + derecha,rapido,gira a la izquierda,adelante,rapido
prendida,normal,aumenta la velocidad en este momento,null,rapido
prendida,detenida,dale de frente con cuidado,adelante,lenta
prendida,detenida,Para Enfrente,adelante,null
prendida,detenida,apaga la silla,apagar,detenida
prendida,detenida,apagate en friega,apagar,detenida
prendida,detenida,izquierda,izquierda,null
prendida,detenida,pa enfrente,adelante,null
adelante,rapido,APURATE,adelante,rapido
prendida,lenta,manten velocidad normal ahorita...,null,normal
prendida,detenida,adelante lento,adelante,lenta
adelante,normal,IZQUIERDA YA,adelante + izquierda,normal
prendida,normal,desacelera de una??,null,lenta
apagado,detenida,IniCiA de inmediatO,prender,detenida
adelante,detenida,baja a normal,adelante,normal
prendida,lenta,desAceLera de una,null,lenta
prendida,detenida,ve derecho normal,adelante,normal
prendida,detenida,rueda hacia adelante?,adelante,normal
adelante + izquierda,detenida,echale para enfrente,adelante,detenida
prendida,detenida,muevete al lado izquierdo??,izquierda,normal
prendida,detenida,rueda para adelante mete velocidad!,adelante,rapido
adelante + derecha,lenta,a la izquierda,adelante,lenta
adelante,detenida,manten velocidad normal ahora,adelante,normal
prendida,detenida,izquierda,izquierda,null
prendida,detenida,mas leNto en frIega!!,null,lenta
izquierda,rapido,a velocidad normal ahorita,izquierda,normal
prendida,detenida,IZQUIERDA,izquierda,null
adelante,rapido,DERECHA YA,adelante + derecha,rapido
adelante + izquierda,lenta,silla derecha,adelante,lenta
adelante + izquierda,lenta,voltea a la derecha!!,adelante,lenta
prendida,detenida,para la izquierda despacito,izquierda,lenta
adelante,normal,a la izquierda,adelante + izquierda,normal
prendida,rapido,con mas velocidad de una,null,rapido
prendida,detenida,muevete adelante,adelante,null
adelante,lenta,a la izquierda!,adelante + izquierda,lenta
adelante,lenta,a la derecha,adelante + derecha,lenta
prendida,detenida,desactivate de una,apagar,detenida
prendida,detenida,desactivate ahora,apagar,detenida
adelante + izquierda,lenta,silla derecha,adelante,lenta
adelante,normal,izquierda,adelante + izquierda,normal
prendida,detenida,avanza,adelante,null
prendida,detenida,para enfrente,adelante,null
prendida,detenida,SILLA APAGA,apagar,detenida
prendida,detenida,izquierda ya,izquierda,null
adelante,normal,voltea a la derecha,adelante + derecha,normal
prendida,detenida,rueda para adelante a velocidad normal,adelante,normal
adelante,detenida,silla derecha,adelante + derecha,detenida
prendida,detenida,adelante,adelante,null
prendida,detenida,rueda de frente mas rapido,adelante,rapido
prendida,detenida,SIGUE DERECHO DESPACITO,adelante,lenta
prendida,detenida,sigue hacia adelante,adelante,normal
prendida,lenta,bajale la velocidad,null,lenta
adelante + izquierda,detenida,Voltea A La Derecha,adelante,detenida
prendida,detenida,muevete hacia adelante,adelante,normal
adelante,normal,a la derechA!,adelante + derecha,normal
prendida,detenida,ARRANCATE AL FRENTE DESPACITO,adelante,lenta
adelante,detenida,modo normal ahora.,adelante,normal
apagado,detenida,enciende en este momento.,prender,detenida
prendida,detenida,apaga ya,apagar,detenida
adelante + izquierda,normal,para enfrente,adelante,normal
prendida,lenta,vamos adelante,adelante,null
prendida,detenida,silla apagate,apagar,detenida
prendida,normal,ECHALE PARA ENFRENTE.,adelante,null
adelante,rapido,gira a la izquierda,adelante + izquierda,rapido
prendida,detenida,cierra en friega,apagar,detenida
adelante + derecha,detenida,silla izquierda?,adelante,detenida
adelante + derecha,normal,avanza,adelante,normal
apagado,detenida,arranca ya.,prender,detenida
prendida,lenta,velocidad normal en friega??,null,normal
apagado,detenida,enciende en corto,prender,detenida
adelante,lenta,silla izquierda,adelante + izquierda,lenta
adelante,lenta,IZQUIERDA,adelante + izquierda,lenta
adelante,detenida,SILLA DERECHA,adelante + derecha,detenida
prendida,detenida,tuerce para la derecha,derecha,normal
prendida,detenida,da vuelta para la izquierda mas rapido,izquierda,rapido
adelante,lenta,mas lento en este momento,adelante,lenta
adelante + izquierda,normal,silla derecha,adelante,normal
prendida,detenida,izquierda ya...,izquierda,null
prendida,lenta,mete turbo,null,rapido
prendida,detenida,apagate,apagar,detenida
adelante,rapido,silla derecha...,adelante + derecha,rapido
prendida,normal,Para Enfrente,adelante,null
prendida,rapido,ve despacio ahorita,null,lenta
prendida,detenida,Arrancate Para Adelante Con Mas Velocidad,adelante,rapido
apagado,detenida,inicIa en cOrto,prender,detenida
prendida,detenida,Rueda Al Frente,adelante,normal
prendida,rapido,acelera en friega,null,rapido
adelante + izquierda,normal,silla derecha,adelante,normal
prendida,detenida,dale para adelante,adelante,normal
adelante,normal,reduce la velocidad ya,adelante,lenta
prendida,rapido,sUbEle la velocidaD YA,null,rapido
prendida,detenida,dale derecho mete velocidad.,adelante,rapido
adelante,rapido,a la izquierda,adelante + izquierda,rapido
adelante,rapido,silla derecha,adelante + derecha,rapido
prendida,detenida,apagate en friega,apagar,detenida
prendida,detenida,llegale hacia adelante apurate.,adelante,rapido
prendida,detenida,adelante lento...,adelante,lenta
prendida,detenida,al lado derecho apurate,derecha,rapido
prendida,detenida,desacelera de inmediato,null,lenta
adelante,rapido,DERECHA,adelante + derecha,rapido
adelante,rapido,gira a la izquierda,adelante + izquierda,rapido
adelante,normal,reduce la velocidad de una,adelante,lenta
prendida,lenta,mete turbo,null,rapido
prendida,lenta,a velocidad normal de una,null,normal
prendida,lenta,BAJA A NORMAL,null,normal
prendida,lenta,manten velocidad normal ahorita?,null,normal
apagado,detenida,enciende en este momento,prender,detenida
prendida,detenida,muevete para enfrente con cuidado??,adelante,lenta
adelante + derecha,normal,Adelante,adelante,normal
prendida,rapido,baja la velocidad,null,lenta
adelante + derecha,rapido,izquierda ya,adelante,rapido
prendida,detenida,Derecho Mete Velocidad,adelante,rapido
adelante,lenta,izquierdA ya,adelante + izquierda,lenta
prendida,detenida,echale para enfrente,adelante,null
adelante,rapido,aumenta la velocidad de una,adelante,rapido
prendida,detenida,sigue derecho normal,adelante,normal
adelante,rapido,silla derecha,adelante + derecha,rapido
prendida,normal,echale para enfrente,adelante,null
prendida,detenida,AVANZA,adelante,null
prendida,normal,mete mas velocidad en este momento,null,rapido
prendida,detenida,adelante rapido...,adelante,rapido
prendida,detenida,voltea a la izquierda,izquierda,null
adelante + izquierda,lenta,Derecha Ya,adelante,lenta
adelante + izquierda,detenida,gira a la derecha,adelante,detenida
prendida,lenta,muevete adelante,adelante,null
prendida,detenida,derecha ya,derecha,null
prendida,detenida,vamos adelante,adelante,null
prendida,detenida,pa enfrente.,adelante,null
adelante + izquierda,normal,voltea a la derecha??,adelante,normal
prendida,detenida,gira a la derecha,derecha,null
izquierda,normal,mete mas velocidad en este momento,izquierda,rapido
adelante,detenida,voltea a la izquierda,adelante + izquierda,detenida
prendida,detenida,desacelera de inmediato,null,lenta
prendida,detenida,silla izquierda,izquierda,null
adelante + derecha,lenta,vamos adelante,adelante,lenta
prendida,lenta,modo normal ahora,null,normal
prendida,detenida,subele la velocidad de una,null,rapido
prendida,lenta,silla adelante,adelante,null
prendida,rapido,modo normal ya,null,normal
adelante + izquierda,normal,voltea a la derecha,adelante,normal
prendida,detenida,gira a la derecha!,derecha,null
derecha,rapido,velocidad normal en friega,derecha,normal
adelante,normal,VOLTEA A LA IZQUIERDA?,adelante + izquierda,normal
prendida,rapido,dale adelante,adelante,null
prendida,detenida,LLEGALE HACIA ADELANTE,adelante,normal
adelante,detenida,A VELOCIDAD NORMAL EN ESTE MOMENTO...,adelante,normal
adelante,normal,gira a la izquierda,adelante + izquierda,normal
adelante + izquierda,lenta,gira a la derecha,adelante,lenta
apagado,detenida,prendete ahorita,prender,detenida
adelante + izquierda,normal,DERECHA,adelante,normal
adelante,rapido,mete mas velocidad,adelante,rapido
prendida,detenida,Rueda Hacia Adelante,adelante,normal
prendida,rapido,para enfrente,adelante,null
prendida,detenida,arrancate para adelante con mas velocidad!,adelante,rapido
adelante + izquierda,lenta,muevete adelante,adelante,lenta
prendida,normal,aumenta la velocidad ya,null,rapido
prendida,rapido,con calma ahorita,null,lenta
adelante,rapido,voltea a la derecha,adelante + derecha,rapido
adelante + derecha,rapido,a la izquierda,adelante,rapido
adelante + izquierda,normal,Voltea A La Derecha,adelante,normal
prendida,detenida,adelante lento,adelante,lenta
prendida,detenida,camina hacia enfrente rapido,adelante,rapido
adelante + izquierda,rapido,Derecha Ya!,adelante,rapido
prendida,detenida,silla adelante,adelante,null
prendida,detenida,muEveTe HAcia la IzqUIerdA Rapido,izquierda,rapido
adelante + derecha,rapido,Izquierda Ya!!,adelante,rapido
adelante,normal,voltea a la izquierda,adelante + izquierda,normal
adelante,detenida,Gira A La Izquierda,adelante + izquierda,detenida
prendida,rapido,no tan rapido en friega,null,lenta
adelante,detenida,con calma!!,adelante,lenta
prendida,detenida,Echale Para Enfrente Rapido,adelante,rapido
adelante,detenida,reduce la velocidad en corto,adelante,lenta
prendida,detenida,voltea a la izquierda tranqui,izquierda,lenta
prendida,detenida,A LA DERECHA A VELOCIDAD NORMAL,derecha,normal
adelante,rapido,izquierda,adelante + izquierda,rapido
adelante,detenida,voltea a la izquierda,adelante + izquierda,detenida
prendida,lenta,aumenta la velocidad ya,null,rapido
prendida,detenida,desconectate en corto,apagar,detenida
prendida,rapido,a velocidad normal ahorita,null,normal
adelante + izquierda,lenta,muevete adelante,adelante,lenta
prendida,detenida,izquierda ya,izquierda,null
prendida,detenida,adelante,adelante,null
prendida,detenida,Pa Enfrente Rapido??,adelante,rapido
adelante,detenida,derecha ya!,adelante + derecha,detenida
adelante + izquierda,rapido,silla derecha,adelante,rapido
prendida,detenida,adelante,adelante,null
derecha,normal,bajale la velocidad de una,derecha,lenta
adelante,lenta,Derecha Ya,adelante + derecha,lenta
prendida,detenida,muevete de frente lento,adelante,lenta
adelante + derecha,rapido,silla izquierda??,adelante,rapido
prendida,detenida,a velocidad normal en este momento,null,normal
prendida,detenida,vamos adelante,adelante,null
adelante,lenta,derecha ya,adelante + derecha,lenta
prendida,rapido,velocidad normal en este momento,null,normal
prendida,normal,para enfrente...,adelante,null
adelante + derecha,rapido,a la izquIerda,adelante,rapido
derecha,normal,ve despacio ahorita?,derecha,lenta
prendida,rapido,mete mas velocidad en este momento,null,rapido
adelante + izquierda,rapido,A LA DERECHA!,adelante,rapido
adelante,rapido,VELOCIDAD NORMAL EN FRIEGA,adelante,normal
prendida,detenida,para adelante suavecito,adelante,lenta
prendida,detenida,voltea a la derecha,derecha,null
adelante + izquierda,normal,derecha ya.,adelante,normal
prendida,normal,modo normal,null,normal
adelante + derecha,lenta,gira a la izquierda??,adelante,lenta
adelante + izquierda,rapido,deREcha,adelante,rapido
prendida,detenida,dale adelante.,adelante,null
apagado,detenida,inicia DE inmediato!!,prender,detenida
apagado,detenida,activate en este momento!,prender,detenida
adelante + derecha,lenta,izquierda ya,adelante,lenta
adelante,rapido,izquierda,adelante + izquierda,rapido
adelante + derecha,rapido,izquierda,adelante,rapido
prendida,detenida,pa enfrente lento,adelante,lenta
prendida,detenida,dale ADELAnte!,adelante,null
adelante,lenta,con calma de inmediato??,adelante,lenta
adelante,rapido,silla derecha,adelante + derecha,rapido
adelante + derecha,rapido,Voltea A La Izquierda,adelante,rapido
adelante,rapido,mas lento ya,adelante,lenta
prendida,detenida,izquierdA ya,izquierda,null
adelante,lenta,silla derecha,adelante + derecha,lenta
prendida,lenta,subele la velocidad,null,rapido
prendida,detenida,silla adelante,adelante,null
prendida,detenida,muevete pa' la izquierda despacito,izquierda,lenta
apagado,detenida,enciendete ahorita,prender,detenida
adelante + izquierda,normal,Voltea a La deREcHa,adelante,normal
adelante + derecha,detenida,voltea a la izquierda,adelante,detenida
apagado,detenida,arranca ya,prender,detenida
prendida,detenida,aL frente Con Cuidado,adelante,lenta
adelante + derecha,lenta,silla izquierda!!,adelante,lenta
adelante,rapido,a velocidad normal,adelante,normal
apagado,detenida,Prendete Ahorita,prender,detenida
adelante,detenida,a la izquierda,adelante + izquierda,detenida
apagado,detenida,inicia en friega?,prender,detenida
adelante + izquierda,lenta,avanza!,adelante,lenta
prendida,rapido,a velocidad normal de una,null,normal
izquierda,rapido,subele la velocidad,izquierda,rapido
prendida,normal,con mas velocidad en este momento,null,rapido
adelante,lenta,con calma en friega,adelante,lenta
prendida,rapido,normal en friega?,null,normal
prendida,detenida,velocidad normal?,null,normal
prendida,detenida,a la derecha velocidad normal,derecha,normal
adelante,rapido,bajale la velocidad de inmediato??,adelante,lenta
adelante,lenta,a la derecha...,adelante + derecha,lenta
prendida,detenida,apaguete,apagar,detenida
prendida,normal,mete mas velocidad de inmediato,null,rapido
adelante,detenida,con mas velocidad ahorita,adelante,rapido
prendida,detenida,aVaNza,adelante,null
apagado,detenida,prendete rapido??,prender,detenida
prendida,normal,adelante,adelante,null
prendida,lenta,mas RapidO ahoRIta!,null,rapido
prendida,rapido,ve despacio de inmediato.,null,lenta
prendida,rapido,no tan rapido de una,null,lenta
adelante + izquierda,normal,pa enfrente,adelante,normal
adelante,rapido,voltea a la derecha,adelante + derecha,rapido
prendida,normal,adelante,adelante,null
apagado,detenida,prendete rapido,prender,detenida
prendida,detenida,DALE DERECHO,adelante,normal
prendida,detenida,avanza,adelante,null
prendida,rapido,disminuye la velocidad,null,normal
adelante + izquierda,lenta,gira a la derecha,adelante,lenta
adelante,detenida,desacelera de inmediato.,adelante,lenta
apagado,detenida,prende,prender,detenida
adelante,lenta,modo normal ahorita,adelante,normal
adelante + izquierda,lenta,para enfrente,adelante,lenta
prendida,detenida,voltea para la izquierda normal,izquierda,normal
prendida,detenida,apaga en friega,apagar,detenida
prendida,detenida,pa enfrente,adelante,null
prendida,detenida,gIRA a lA izQUierda mete vElOciDad,izquierda,rapido
adelante,lenta,voltea a la izquierda??,adelante + izquierda,lenta
prendida,detenida,hacia adelante con cuidado,adelante,lenta
prendida,detenida,ve derecho,adelante,normal
apagado,detenida,ENCIENDE LA SILLA,prender,detenida
adelante + izquierda,rapido,silla derecha,adelante,rapido
adelante,lenta,a velocidad normal de una,adelante,normal
prendida,detenida,avanza,adelante,null
adelante + izquierda,lenta,silla derecha,adelante,lenta
adelante + derecha,rapido,voltea a la izquierda,adelante,rapido
prendida,normal,mete mas velocidad,null,rapido
adelante,lenta,gira a la izquierda,adelante + izquierda,lenta
prendida,detenida,gira a la izquierda,izquierda,null
prendida,detenida,AVANZA,adelante,null
prendida,detenida,a la izquierda con mas velocidad,izquierda,rapido
prendida,detenida,desactivate de una,apagar,detenida
prendida,detenida,Vamos Adelante,adelante,null
adelante,lenta,a la izquierda??,adelante + izquierda,lenta
adelante,normal,izquIErDa,adelante + izquierda,normal
prendida,detenida,derECho despAciO,adelante,lenta
prendida,detenida,a la derecha,derecha,null
adelante,rapido,voltea a la izquierda,adelante + izquierda,rapido
adelante,normal,Derecha Ya,adelante + derecha,normal
prendida,detenida,muevete de frente normal,adelante,normal
prendida,detenida,ve de frente despacito,adelante,lenta
adelante + derecha,rapido,silla izquierda,adelante,rapido
prendida,lenta,Con Mas Velocidad Ahorita,null,rapido
adelante + derecha,rapido,izquierda.,adelante,rapido
adelante + izquierda,lenta,muevete adelante,adelante,lenta
prendida,normal,con mas velocidad,null,rapido
adelante,rapido,a la izquierda,adelante + izquierda,rapido
prendida,detenida,hiberna,apagar,detenida
prendida,detenida,continua al frente despacito,adelante,lenta
prendida,detenida,camina hacia enfrente,adelante,normal
adelante,normal,silla izquierda,adelante + izquierda,normal
adelante + izquierda,lenta,GIRA A LA DERECHA,adelante,lenta
prendida,detenida,da vuelta para la izquierda tranqui,izquierda,lenta
prendida,detenida,silla apagate??,apagar,detenida
adelante + derecha,rapido,SILLA IZQUIERDA,adelante,rapido
izquierda,detenida,despacito.,izquierda,lenta
adelante,normal,izquierda,adelante + izquierda,normal
adelante,normal,DERECHA YA,adelante + derecha,normal
adelante,rapido,silla izquierda,adelante + izquierda,rapido
adelante,lenta,izquierda ya,adelante + izquierda,lenta
derecha,detenida,Ve Despacio De Inmediato,derecha,lenta
derecha,rapido,normal ya...,derecha,normal
adelante,detenida,Reduce La Velocidad Ahora,adelante,lenta
adelante + izquierda,normal,derecha,adelante,normal
adelante + izquierda,lenta,dale adelante,adelante,lenta
prendida,detenida,paRa ENfrEntE lENTa,adelante,lenta
adelante,detenida,no tan rapido en friega,adelante,lenta
adelante,lenta,izquierda,adelante + izquierda,lenta
adelante,detenida,velocidad normal en friega,adelante,normal
adelante,lenta,voltea a la izquierda,adelante + izquierda,lenta
adelante,lenta,Derecha Ya,adelante + derecha,lenta
adelante + izquierda,normal,derecha ya,adelante,normal
prendida,detenida,a la izquierda,izquierda,null
prendida,detenida,VAMOS ADELANTE,adelante,null
adelante + izquierda,lenta,gira a la derecha,adelante,lenta
adelante,lenta,voltea a la izquierda,adelante + izquierda,lenta
izquierda,lenta,Manten Velocidad Normal Ahorita,izquierda,normal
izquierda,rapido,rapido,izquierda,rapido
prendida,detenida,apagate de una,apagar,detenida
derecha,normal,suavecito,derecha,lenta
adelante,rapido,silla derecha,adelante + derecha,rapido
adelante,lenta,ve despacio ahorita,adelante,lenta
adelante,lenta,velocidad normal en friega,adelante,normal
adelante + derecha,rapido,GIRA A LA IZQUIERDA?,adelante,rapido
adelante,normal,gira a la derecha?,adelante + derecha,normal
adelante + izquierda,rapido,derecha ya,adelante,rapido
prendida,detenida,Ve Hacia Adelante Con Mas Velocidad!!,adelante,rapido
prendida,detenida,avanza,adelante,null
prendida,detenida,gira a la derecha,derecha,null
prendida,detenida,subele la velocidad en friega,null,rapido
apagado,detenida,activate en corto,prender,detenida
adelante + izquierda,normal,Muevete Adelante,adelante,normal
adelante + izquierda,normal,gira a la derecha,adelante,normal
prendida,detenida,apaga la silla,apagar,detenida
prendida,detenida,muevete al lado derecho con mas velocidad.,derecha,rapido
prendida,detenida,voltea a la derecha,derecha,null
prendida,detenida,desactivate en corto,apagar,detenida
adelante + derecha,normal,izquierda ya...,adelante,normal
prendida,detenida,da vuelta para la derecha suavecito,derecha,lenta
adelante,normal,MAS LENTO YA...,adelante,lenta
prendida,rapido,aumenta la velocidad ahorita,null,rapido
prendida,lenta,Subele La Velocidad En Este Momento,null,rapido
prendida,detenida,avanza lenta?,adelante,lenta
prendida,detenida,desconectate en friega,apagar,detenida
adelante + izquierda,lenta,voltea a la derecha,adelante,lenta
adelante + izquierda,normal,DERECHA,adelante,normal
prendida,lenta,dale adelante...,adelante,null
prendida,detenida,continua de frente normal,adelante,normal
adelante,lenta,izquierda ya,adelante + izquierda,lenta
adelante,detenida,aumenta la velocidad de una,adelante,rapido
adelante,normal,izquierda ya!!,adelante + izquierda,normal
prendida,rapido,normal ya,null,normal
adelante,normal,a la izquierda,adelante + izquierda,normal
adelante,normal,derecha,adelante + derecha,normal
adelante,rapido,No Tan Rapido De Una,adelante,lenta
adelante + derecha,normal,izquieRdA!!,adelante,normal
adelante,normal,A La Izquierda,adelante + izquierda,normal
adelante + izquierda,lenta,silla adelante,adelante,lenta
prendida,detenida,pa enfrente mas rapido,adelante,rapido
