estado_accion,estado_velocidad,frase,accion,velocidad
apagado,detenida,prende ahora ya,prender,detenida
atras,normal,hey reduce velocidad,atras,lenta
derecha,detenida,oye normal ya,derecha,normal
adelante,rapido,oye manten velocidad normal ahora,adelante,normal
prendida,detenida,silla camina hacia enfrente tranqui,adelante,lenta
prendida,detenida,sigue pa' atras,atras,normal
prendida,normal,por favor ve hacia atras,atras,null
prendida,rapido,OYE BAJALE LA VELOCIDAD POR FAVOR,null,lenta
prendida,detenida,muevete hacia atras ahorita,atras,normal
prendida,detenida,ve hacia atras modo normal,atras,normal
prendida,detenida,llegale al frente,adelante,normal
prendida,detenida,POR FAVOR HACIA ATRAS NORMAL,atras,normal
prendida,rapido,sube la velocidad ya,null,rapido
adelante,rapido,Por favOR Gira a la DErecHa aHoRiTa,adelante + derecha,rapido
prendida,lenta,por favor normal ya,null,normal
adelante,detenida,por favor dobla a la izquierda?,adelante + izquierda,detenida
prendida,normal,pa atras ya,atras,null
prendida,normal,continua hacia adelante,adelante,null
prendida,detenida,dobla a la izquierda mete velocidad de inmediato,izquierda,rapido
apagado,detenida,por favor prende de una ya,prender,detenida
prendida,detenida,hey hiberna de inmediato?,apagar,detenida
prendida,detenida,hey da reversa ya,atras,null
prendida,detenida,hey atras,atras,null
adelante + izquierda,normal,dale adelante ahora??,adelante,normal
adelante + derecha,normal,sIlla ecHale pArA enfrentE,adelante,normal
prendida,detenida,tranqui ahorita,null,lenta
adelante,normal,pOr favoR ve desPacIo en Este MomeNto.,adelante,lenta
prendida,detenida,continua de reversa,atras,normal
prendida,detenida,Por Favor Gira Izquierda,izquierda,null
prendida,lenta,por favor ve hacia atras ahora,atras,null
adelante,detenida,reduce la velocidad ahora,adelante,lenta
adelante + derecha,rapido,silla girA a lA izquieRda,adelante,rapido
prendida,detenida,Al laDo izquIeRdO mete vElOCidAD?,izquierda,rapido
prendida,detenida,pOr Favor rUeDa haCiA aDElantE a velocIdad nOrmaL,adelante,normal
prendida,detenida,para adelante con mas velocidad ya,adelante,rapido
adelante,normal,izquierda!,adelante + izquierda,normal
prendida,detenida,dobla a la derecha a velocidad normal,derecha,normal
prendida,detenida,oye apaga ya,apagar,detenida
atras,normal,tranqui,atras,lenta
adelante + izquierda,detenida,hey avanza,adelante,detenida
apagado,detenida,activate en este momento ahorita,prender,detenida
prendida,detenida,da vuelta para la izquierda tranqui,izquierda,lenta
adelante,rapido,gira derecha ahora,adelante + derecha,rapido
prendida,detenida,hey derecha normal ahora,derecha,normal
adelante + izquierda,detenida,por favor voltea a la derecha!!,adelante,detenida
adelante + izquierda,rapido,DOBLA A LA DERECHA AHORITA,adelante,rapido
prendida,detenida,APAGA DE INMEDIATO YA,apagar,detenida
prendida,detenida,ve hacia adelante lenta,adelante,lenta
adelante + derecha,normal,avanza un poco ahora,adelante,normal
adelante + derecha,normal,izquierda!!,adelante,normal
adelante,normal,derecha ahorita,adelante + derecha,normal
adelante,rapido,reduce la velocidad de una,adelante,lenta
prendida,detenida,oye vamos atras,atras,null
prendida,detenida,desconectate ahora!!,apagar,detenida
atras,lenta,AUMENTA LA VELOCIDAD EN FRIEGA DE INMEDIATO,atras,rapido
prendida,lenta,Con Calma En Friega,null,lenta
prendida,detenida,oye mete mas velocidad en corto,null,rapido
atras,normal,subele la velocidad,atras,rapido
adelante + derecha,normal,GIRA A LA IZQUIERDA,adelante,normal
adelante,normal,dobla a la izquierda??,adelante + izquierda,normal
prendida,lenta,reversa ahorita,atras,null
prendida,detenida,doblA hacia la iZquierda tRanqui ahoRa,izquierda,lenta
adelante,normal,silla mueve a la izquierda ahora!,adelante + izquierda,normal
prendida,detenida,RETROCEDE METE VELOCIDAD?,atras,rapido
prendida,rapido,mas rapido ahorita por favor!!,null,rapido
derecha,lenta,oye mas lento de inmediato,derecha,lenta
atras,normal,Acelera De Inmediato Por Favor!,atras,rapido
prendida,detenida,Silla Mete Mas Velocidad De Una,null,rapido
prendida,normal,oye acelera mas,null,rapido
adelante,lenta,IZQUIERDA,adelante + izquierda,lenta
prendida,detenida,HEY IZQUIERDA POR FAVOR?,izquierda,null
prendida,detenida,hey gira a la derecha ahora??,derecha,null
prendida,detenida,Desconectate Ahora Por Favor,apagar,detenida
prendida,detenida,llegale para enfrente con calma,adelante,lenta
atras,detenida,No Tan Rapido En Friega,atras,lenta
prendida,detenida,silla con mas velocidad en este momento ahorita,null,rapido
prendida,detenida,rueda pa' atras de inmediato,atras,normal
prendida,detenida,hey apaga de una de inmediato,apagar,detenida
adelante + izquierda,normal,dEreCha ahOrIta...,adelante,normal
prendida,detenida,silla de reversa mete velocidad,atras,rapido
adelante + derecha,lenta,oye dobla a la izquierda,adelante,lenta
adelante,normal,silla subele la velocidad en este momento,adelante,rapido
prendida,lenta,RECULA,atras,null
prendida,detenida,mUEve a la izqUierdA,izquierda,null
atras,normal,por favor mete mas velocidad ahora,atras,rapido
prendida,detenida,hey voltea a la izquierda,izquierda,null
prendida,detenida,oye avanza,adelante,null
prendida,rapido,Da Reversa,atras,null
prendida,detenida,apaga de una??,apagar,detenida
prendida,detenida,por favor regresate para atras,atras,normal
prendida,detenida,a la derecha velocidad normal,derecha,normal
prendida,detenida,descansa,apagar,detenida
adelante + izquierda,lenta,por favor gira derecha ahora,adelante,lenta
prendida,detenida,llegale hacia atras,atras,normal
prendida,lenta,hey manten velocidad normal en friega ahorita,null,normal
adelante,normal,gira a la derecha ahora,adelante + derecha,normal
prendida,detenida,da vuelta hacia la derecha!!,derecha,normal
adelante,normal,mete mas velocidad de una,adelante,rapido
prendida,detenida,para enfrente con calma de inmediato,adelante,lenta
adelante + izquierda,lenta,a la derecha ahorita??,adelante,lenta
prendida,detenida,hey apaga de una ahora,apagar,detenida
prendida,detenida,oye ve al lado izquierdo ahorita...,izquierda,normal
prendida,detenida,adelantate a velocidad normal,adelante,normal
adelante + derecha,detenida,hey echale para enfrente por favor,adelante,detenida
prendida,lenta,mete mas velocidad en friega ahorita,null,rapido
apagado,detenida,por favor enciende ahorita,prender,detenida
prendida,detenida,mete mas velocidad de una,null,rapido
prendida,lenta,HEY NORMAL EN FRIEGA,null,normal
atras,lenta,velocidad normal en este momento,atras,normal
prendida,normal,Ve Hacia Atras,atras,null
prendida,detenida,oye para enfrente modo normal!,adelante,normal
adelante + derecha,lenta,oye a la izquierda por favor,adelante,lenta
atras,detenida,tranqui ahora,atras,lenta
prendida,rapido,HEY ECHALE PARA ENFRENTE.,adelante,null
prendida,lenta,retroCede,atras,null
izquierda,rapido,A VELOCIDAD NORMAL AHORITA,izquierda,normal
prendida,detenida,Da Marcha Atras,atras,normal
adelante,lenta,Mueve A La Derecha,adelante + derecha,lenta
prendida,detenida,por favor derecho apurate,adelante,rapido
izquierda,rapido,no tan rapido en friega,izquierda,lenta
prendida,detenida,silla sigue en reversa apurate por favor,atras,rapido
apagado,detenida,oye prendete rapido ahorita,prender,detenida
prendida,detenida,da vuelta hacia la izquierda por favor,izquierda,normal
prendida,detenida,silla izquierda ahorita,izquierda,null
atras,rapido,normal en friega,atras,normal
derecha,detenida,silla baja la velocidad de inmediato...,derecha,lenta
prendida,detenida,SILLA ECHALE HACIA ATRAS CON CUIDADO,atras,lenta
prendida,detenida,para enfrente,adelante,null
atras,detenida,subele la velocidad en este momento,atras,rapido
prendida,detenida,sigue al frente rapido,adelante,rapido
atras,rapido,mete velocidad ahora,atras,rapido
atras,lenta,hey bajale la velocidad de inmediato,atras,lenta
prendida,detenida,rueda hacia adelante tranqui ahora,adelante,lenta
prendida,rapido,hey para enfrente,adelante,null
adelante + derecha,normal,por favor izquierda ahorita,adelante,normal
adelante,normal,acelera de inmediato ya,adelante,rapido
adelante,rapido,oye a velocidad normal en este momento??,adelante,normal
prendida,detenida,muevete atras ahora,atras,null
adelante,normal,por favor manten velocidad normal en friega,adelante,normal
adelante,lenta,hey gira izquierda,adelante + izquierda,lenta
prendida,detenida,ve hacia atras??,atras,null
prendida,rapido,por favor mas lento de una de inmediato,null,lenta
prendida,detenida,continua para adelante por favor,adelante,normal
prendida,detenida,OYE DALE DE REVERSA DESPACIO,atras,lenta
prendida,normal,por favor muevete adelante de inmediato,adelante,null
adelante,rapido,mUEve a La dErEcha ahoRita,adelante + derecha,rapido
atras,normal,con mas velocidad en este momento?,atras,rapido
adelante + derecha,normal,hey vamos adelante ahora,adelante,normal
adelante,detenida,sIlla mas rapIdo en eSTe momeNto Ya,adelante,rapido
prendida,detenida,silla dobla pa' la derecha a velocidad normal,derecha,normal
apagado,detenida,prendete ahorita?,prender,detenida
adelante,lenta,silla voltea a la izquierda ahora,adelante + izquierda,lenta
apagado,detenida,inicia en friega de inmediato,prender,detenida
prendida,detenida,oye voltea a la derecha ahora,derecha,null
prendida,detenida,por favor arrancate de reversa...,atras,normal
prendida,detenida,para enfrente ahorita!,adelante,null
prendida,detenida,reversa ahora,atras,null
prendida,detenida,oye echale para adelante??,adelante,normal
prendida,detenida,POR FAVOR HACIA ATRAS NORMAL,atras,normal
atras,rapido,Silla Normal,atras,normal
prendida,detenida,oye gira derecha ya!!,derecha,null
adelante + izquierda,rapido,derecha...,adelante,rapido
prendida,detenida,avanza ponlo normal,adelante,normal
prendida,detenida,oye muevete adelante ahora,adelante,null
adelante,lenta,subele la velocidad?,adelante,rapido
prendida,detenida,para atras mas rapido,atras,rapido
prendida,detenida,pA atras,atras,null
adelante,normal,hey a la derecha de inmediato,adelante + derecha,normal
apagado,detenida,inicia en friega por favor,prender,detenida
adelante,lenta,por favoR mOdo normAl AHora,adelante,normal
prendida,detenida,Camina Hacia Enfrente Despacio!!,adelante,lenta
prendida,rapido,OYE MODO NORMAL YA,null,normal
prendida,detenida,por favor apagar,apagar,detenida
prendida,lenta,desacelera de inmediato ahora,null,lenta
prendida,lenta,oye atras de inmediato,atras,null
prendida,lenta,reduce la velocidad en friega,null,lenta
prendida,normal,silla aumenta la velocidad de inmediato de inmediato!,null,rapido
adelante,lenta,GIRA DERECHA YA!,adelante + derecha,lenta
adelante,rapido,Hey deSaCelera de una,adelante,lenta
prendida,detenida,recula!!,atras,null
adelante,normal,DOBLA A LA IZQUIERDA DE INMEDIATO,adelante + izquierda,normal
prendida,detenida,atras.,atras,null
atras,rapido,con calma ahorita ahorita,atras,lenta
apagado,detenida,Arranca AhoriTa AhOrita?,prender,detenida
prendida,detenida,oye izquierda,izquierda,null
adelante,detenida,manten velocidad normal en friega de inmediato,adelante,normal
adelante,normal,silla mueve a la izquierda,adelante + izquierda,normal
prendida,lenta,ve hacia adelante??,adelante,null
adelante,lenta,por favor gira izquierda de inmediato,adelante + izquierda,lenta
prendida,detenida,sigue al frente despacito,adelante,lenta
atras,detenida,oye a velocidad normal ya,atras,normal
prendida,detenida,por favor para enfrente modo normal,adelante,normal
atras,detenida,mas lento en friega,atras,lenta
prendida,detenida,ve hacia atras acelera mas,atras,rapido
atras,normal,mas lento en este momento de inmediato,atras,lenta
adelante,normal,mas rapido ahorita,adelante,rapido
prendida,detenida,da reversa.,atras,null
adelante,normal,OYE GIRA IZQUIERDA,adelante + izquierda,normal
adelante,rapido,silla gira derecha ya,adelante + derecha,rapido
prendida,detenida,gira a la derecha ya,derecha,null
adelante,lenta,GIRA A LA IZQUIERDA,adelante + izquierda,lenta
prendida,detenida,girA a la derecha,derecha,null
prendida,normal,ponlo normal por favor,null,normal
prendida,detenida,ACELERA EN FRIEGA,null,rapido
prendida,detenida,por favor hacia la derecha normal ya,derecha,normal
apagado,detenida,hey activate de una ya,prender,detenida
prendida,detenida,silla echale derecho a velocidad normal,adelante,normal
apagado,detenida,silla enciendete de una ahorita,prender,detenida
prendida,lenta,hey mete velocidad,null,rapido
adelante,normal,por favor voltea a la derecha,adelante + derecha,normal
prendida,normal,Con Mas Velocidad Ya,null,rapido
prendida,detenida,oye dale de reversa rapido,atras,rapido
prendida,detenida,Hey Apaga En Friega De Inmediato,apagar,detenida
adelante,normal,oye dobla a la derecha,adelante + derecha,normal
atras,lenta,oye mas despacio por favor,atras,lenta
prendida,detenida,silla apaga ya de inmediato,apagar,detenida
adelante + derecha,lenta,oye dobla a la izquierda,adelante,lenta
prendida,rapido,oye para enfrente,adelante,null
adelante,normal,hey dobla a la derecha!!,adelante + derecha,normal
prendida,rapido,da Reversa,atras,null
prendida,detenida,por favor continua pa' atras con mas velocidad,atras,rapido
adelante,rapido,voltea a la izquierda por favor?,adelante + izquierda,rapido
prendida,detenida,voltea a la izquierda por favor,izquierda,null
atras,normal,reduce la velocidad en este momento ahora,atras,lenta
prendida,rapido,a velocidad normal ya,null,normal
adelante,lenta,aumenta la velocidad en friega,adelante,rapido
prendida,normal,por favor muevete adelante.,adelante,null
prendida,detenida,rueda rueda hacia adelante ahorita,adelante,normal
atras,detenida,mas lento ya,atras,lenta
prendida,lenta,echale para enfrente?,adelante,null
apagado,detenida,hey inicia en friega,prender,detenida
prendida,detenida,silla gira derecha.,derecha,null
derecha,normal,disminuye la velocidad a lento,derecha,lenta
prendida,detenida,da marcha atras apurate,atras,rapido
atras,normal,POR FAVOR DISMINUYE LA VELOCIDAD A LENTO,atras,lenta
atras,normal,Aumenta La Velocidad En Friega,atras,rapido
prendida,detenida,silLa normal ya,null,normal
atras,detenida,silLa modO nOrmal aHorita ya?,atras,normal
prendida,rapido,HEY ECHALE PARA ENFRENTE AHORITA,adelante,null
prendida,detenida,Oye Ve Hacia Atras,atras,null
prendida,detenida,hiberna,apagar,detenida
adelante,normal,subele la velocidad de una ya??,adelante,rapido
prendida,detenida,Izquierda Ya,izquierda,null
prendida,detenida,vamos adelante ya...,adelante,null
prendida,detenida,Dobla Al Lado Izquierdo Apurate,izquierda,rapido
adelante + derecha,normal,oye mueve a la izquierda!,adelante,normal
adelante + derecha,lenta,oye adelante,adelante,lenta
prendida,detenida,hey rapido por favor,null,rapido
prendida,detenida,hey gira a la izquierda ya,izquierda,null
adelante,lenta,Mueve A La Izquierda De Inmediato,adelante + izquierda,lenta
prendida,detenida,silla da reversa despacio de inmediato,atras,lenta
prendida,detenida,Dobla A La Derecha?,derecha,null
adelante,rapido,HEY DOBLA A LA IZQUIERDA,adelante + izquierda,rapido
atras,detenida,desacelera de una!!,atras,lenta
prendida,detenida,por favor gira a la derecha,derecha,null
adelante,normal,GIRA A LA IZQUIERDA?,adelante + izquierda,normal
adelante + derecha,normal,hey pa enfrente...,adelante,normal
prendida,detenida,HEY DERECHO LENTO,adelante,lenta
adelante + izquierda,rapido,VOLTEA A LA DERECHA POR FAVOR,adelante,rapido
prendida,detenida,vamos atrAs Por favoR.,atras,null
prendida,rapido,normal EN Friega,null,normal
prendida,detenida,VE HACIA ADELANTE AHORA,adelante,normal
prendida,rapido,avanza ya,adelante,null
adelante,normal,oye gira a la derecha,adelante + derecha,normal
prendida,detenida,hey voltea hacia la derecha de inmediato,derecha,normal
derecha,rapido,por favor sube la velocidad!!,derecha,rapido
prendida,detenida,por favOr dalE pAra enfRente,adelante,normal
atras,lenta,Con Mas Velocidad Ahorita Ya,atras,rapido
atras,detenida,ve despacio en corto de inmediato,atras,lenta
adelante + izquierda,normal,hey vamos adelante ya,adelante,normal
prendida,detenida,silla al frente despacio,adelante,lenta
prendida,detenida,por favor voltea a la derecha de inmediato,derecha,null
prendida,normal,muevete adelante ahora,adelante,null
adelante,lenta,por favor a la derecha ahorita,adelante + derecha,lenta
apagado,detenida,prende la silla,prender,detenida
prendida,normal,oye recula ahorita,atras,null
prendida,detenida,hey gira a la derecha ahorita...,derecha,null
prendida,detenida,a la izquierda mas despacio,izquierda,lenta
prendida,detenida,Voltea A La Izquierda,izquierda,null
adelante + izquierda,detenida,por favor gira a la derecha,adelante,detenida
adelante,lenta,silla gira derecha de inmediato,adelante + derecha,lenta
prendida,detenida,Ve Hacia Atras Ponlo Normal,atras,normal
apagado,detenida,prende la silla de inmediato,prender,detenida
adelante,lenta,a la derecha de inmediato,adelante + derecha,lenta
adelante,detenida,acelera de inmediato de inmediato,adelante,rapido
prendida,detenida,apaga ahora,apagar,detenida
prendida,rapido,vamos atras,atras,null
prendida,detenida,hey no tan rapido ya,null,lenta
prendida,rapido,dale adelante de inmediato,adelante,null
adelante,normal,mas rapido ya ahorita,adelante,rapido
apagado,detenida,por favor enciendete de inmediato,prender,detenida
adelante,normal,gira izquierda por favor,adelante + izquierda,normal
adelante,rapido,subele la velocidad ya,adelante,rapido
prendida,detenida,hey derecho con cuidadO ahorita,adelante,lenta
adelante,normal,gira a la derecha??,adelante + derecha,normal
prendida,lenta,aumenta la velocidad en friega de inmediato,null,rapido
adelante,lenta,hey gira izquierda,adelante + izquierda,lenta
atras,normal,subele la velocidad ahorita de inmediato,atras,rapido
adelante,detenida,OYE MUEVE A LA IZQUIERDA POR FAVOR,adelante + izquierda,detenida
prendida,rapido,acelera de inmediato,null,rapido
prendida,detenida,reversa normal ya,atras,normal
prendida,detenida,avanza un poco ahorita,adelante,null
adelante,normal,ve despacio en este momento,adelante,lenta
adelante,rapido,oye mueve a la derecha,adelante + derecha,rapido
atras,normal,Por Favor Modo Normal Ahorita Ahora,atras,normal
adelante,rapido,silla gira a la izquierda!!,adelante + izquierda,rapido
prendida,normal,hey ve hacia atras...,atras,null
atras,detenida,Lenta,atras,lenta
adelante,normal,a velocidad normal de una...,adelante,normal
prendida,detenida,continua hacia adelante con mas velocidad,adelante,rapido
prendida,detenida,sigue adelanTe ya,adelante,null
prendida,detenida,Silla Sigue Hacia Atras A Velocidad Normal,atras,normal
prendida,detenida,ve para la derecha mas rapido,derecha,rapido
adelante,rapido,por favor a la izquierda ahora,adelante + izquierda,rapido
adelante,normal,POR FAVOR DERECHA DE INMEDIATO,adelante + derecha,normal
atras,lenta,A VELOCIDAD NORMAL EN ESTE MOMENTO,atras,normal
adelante,normal,hey izquierda ahorita,adelante + izquierda,normal
prendida,rapido,hey subele la velocidad!,null,rapido
prendida,detenida,OYE APAGAR,apagar,detenida
prendida,detenida,por favor reversa de inmediato,atras,null
prendida,rapido,NO TAN RAPIDO YA.,null,lenta
atras,detenida,hey a velocidad normal de una por favor!,atras,normal
adelante,normal,oye velocidad normal ahora,adelante,normal
prendida,detenida,silla echale para enfrente despacito,adelante,lenta
atras,normal,manten velocidad normal ahora,atras,normal
prendida,detenida,para atras ahora,atras,null
adelante,detenida,hey mete mas velocidad en este momento ya...,adelante,rapido
prendida,detenida,continua para enfrente tranqui,adelante,lenta
prendida,detenida,reVErSA ahOrita,atras,null
prendida,detenida,rueda hacia adelante ahorita,adelante,normal
apagado,detenida,silla enciendete en corto,prender,detenida
apagado,detenida,oye prende ahorita ahora,prender,detenida
prendida,detenida,por favOr derechA lentA,derecha,lenta
atras,detenida,rapido,atras,rapido
prendida,detenida,HEY VE HACIA ADELANTE,adelante,null
prendida,detenida,Para Adelante Mete Velocidad.,adelante,rapido
prendida,rapido,con calma en corto,null,lenta
prendida,detenida,dobla a la izquierda...,izquierda,null
adelante,lenta,acelera en friega ya,adelante,rapido
apagado,detenida,Arranca De Una De Inmediato,prender,detenida
prendida,detenida,oye continua para adelante ahora,adelante,normal
adelante,normal,aumenta la velocidad de una!!,adelante,rapido
prendida,detenida,por favor retrocede ya,atras,null
prendida,detenida,apaga de inmediato,apagar,detenida
adelante,lenta,oye modo normal ahorita.,adelante,normal
prendida,detenida,OYE TRANQUI YA,null,lenta
prendida,detenida,recula...,atras,null
adelante,lenta,gira a la derecha ahorita,adelante + derecha,lenta
prendida,lenta,velocidad normal en friega ahora,null,normal
adelante + derecha,rapido,Gira A La Izquierda Por Favor,adelante,rapido
prendida,lenta,bajale la velocidad de una,null,lenta
prendida,normal,desaceleRa en coRto,null,lenta
prendida,detenida,silla mueve A La deRecha ya,derecha,null
prendida,detenida,a la izquIerDa aHorA,izquierda,null
adelante + derecha,normal,por favor echale para enfrente,adelante,normal
prendida,detenida,Por Favor Rueda Pa' Atras Con Calma Ahorita,atras,lenta
prendida,detenida,por favor derecho con mas velocidad ahorita,adelante,rapido
adelante,detenida,oye mas rapido de una ahorita,adelante,rapido
adelante + izquierda,lenta,AVANZA,adelante,lenta
prendida,detenida,por favor arrancate al frente despacito,adelante,lenta
adelante,normal,hey gira derecha ya,adelante + derecha,normal
prendida,detenida,no tan rapido en corto ya,null,lenta
prendida,detenida,dale adelante despacio ya,adelante,lenta
prendida,detenida,Atras,atras,null
adelante,lenta,gira a la derecha ya,adelante + derecha,lenta
atras,normal,A VELOCIDAD NORMAL DE UNA,atras,normal
adelante + izquierda,rapido,silla mueve a la derecha,adelante,rapido
prendida,detenida,CONTINUA HACIA ADELANTE METE VELOCIDAD DE INMEDIATO,adelante,rapido
adelante,lenta,oye desacelera ahorita??,adelante,lenta
apagado,detenida,POR FAVOR ENCIENDETE AHORITA,prender,detenida
adelante,lenta,mas rapido de una,adelante,rapido
adelante,normal,dobla a la izquierda!!,adelante + izquierda,normal
adelante + derecha,lenta,SiLLA girA izquIerda?,adelante,lenta
adelante,lenta,oye izquierda,adelante + izquierda,lenta
prendida,detenida,adelante rapido,adelante,rapido
adelante,normal,auMenta la velociDAD en cOrto,adelante,rapido
adelante + derecha,lenta,para enfrente ya,adelante,lenta
adelante + derecha,lenta,oyE gira a la izquierDa por favor??,adelante,lenta
prendida,detenida,Silla Atras Despacio Por Favor.,atras,lenta
prendida,detenida,Por Favor Apaga En Friega!!,apagar,detenida
adelante,lenta,voltea a la izquierda por favor,adelante + izquierda,lenta
prendida,detenida,hEy dobla A La DereCha??,derecha,null
prendida,detenida,aPaguete,apagar,detenida
prendida,normal,HEY BAJA A NORMAL.,null,normal
adelante + derecha,rapido,hey dobla a la izquierda ahora,adelante,rapido
prendida,normal,hey velocidad normal,null,normal
prendida,normal,hey dISminuye la veLociDad a lEntO ahoRiTa,null,lenta
prendida,lenta,reduce la velocidad ahora,null,lenta
prendida,lenta,mete mas velocidad en corto,null,rapido
prendida,lenta,por favor normaL,null,normal
prendida,normal,ve despacio de inmediato,null,lenta
prendida,detenida,por favor pa enfrente,adelante,null
prendida,detenida,Echale Para Enfrente!!,adelante,null
adelante,normal,gira a la derecha de inmediato,adelante + derecha,normal
prendida,detenida,PARA ENFRENTE?,adelante,null
prendida,detenida,rueda de reversa suavecito,atras,lenta
prendida,detenida,HEY IZQUIERDA AHORITA,izquierda,null
atras,detenida,aumenta la velocidad en corto?,atras,rapido
prendida,detenida,hey desconectate en friega!,apagar,detenida
prendida,detenida,sigue derecho con cuidado,adelante,lenta
prendida,detenida,oye para enfrente mas despacio ya,adelante,lenta
prendida,detenida,echale pa' atras mas rapido ahora??,atras,rapido
adelante + izquierda,normal,dale adelante ahora,adelante,normal
adelante,detenida,por favor manten velocidad normal ya,adelante,normal
apagado,detenida,arranca ahorita de inmediato,prender,detenida
prendida,normal,pa enfrente??,adelante,null
apagado,detenida,inicia ahorita,prender,detenida
prendida,detenida,hazte para atras.,atras,null
prendida,detenida,da vuelta a la izquierdA,izquierda,normal
apagado,detenida,enciende la silla de inmediato,prender,detenida
prendida,rapido,silla baja a normal,null,normal
adelante + izquierda,lenta,silla gira derecha,adelante,lenta
prendida,detenida,SILLA PARA LA IZQUIERDA NORMAL,izquierda,normal
adelante,lenta,suavecito ahora??,adelante,lenta
prendida,normal,Por Favor Manten Velocidad Normal Ya,null,normal
prendida,detenida,reversa lento ahora,atras,lenta
prendida,rapido,OYE MODO NORMAL??,null,normal
adelante + izquierda,rapido,oye dobla a la derecha ahorita,adelante,rapido
prendida,detenida,En reveRSA coN maS velocidad,atras,rapido
apagado,detenida,hEy pRenDe la SillA de inmEdiato!!,prender,detenida
adelante,lenta,silla dobla a la derecha,adelante + derecha,lenta
adelante,lenta,silla mueve a la izquierda?,adelante + izquierda,lenta
prendida,detenida,derecha...,derecha,null
prendida,detenida,silla desactivate de una,apagar,detenida
prendida,detenida,POR FAVOR DALE ADELANTE PONLO NORMAL,adelante,normal
prendida,detenida,con calma de una,null,lenta
prendida,detenida,apaga de una,apagar,detenida
prendida,detenida,por favor ve hacia atras lento ya,atras,lenta
adelante + derecha,normal,mueve a la izquierda ahora,adelante,normal
prendida,normal,BAJALE LA VELOCIDAD DE UNA?,null,lenta
izquierda,detenida,HEY BAJALE LA VELOCIDAD YA AHORITA,izquierda,lenta
adelante,detenida,gira derecha ahorita,adelante + derecha,detenida
prendida,lenta,por favor recula,atras,null
prendida,detenida,arrancate para atras con mas velocidad.,atras,rapido
prendida,rapido,Con Mas Velocidad Ahorita,null,rapido
apagado,detenida,silla prender,prender,detenida
prendida,detenida,sigue adelante ahora!!,adelante,null
prendida,rapido,adelaNte,adelante,null
prendida,detenida,oye apaga ya ahora!!,apagar,detenida
prendida,detenida,Derecho Mete Velocidad Por Favor,adelante,rapido
prendida,detenida,por favor avanza un poco,adelante,null
atras,detenida,hey subele la velocidad ya,atras,rapido
prendida,detenida,por favor para atras ahora,atras,null
prendida,lenta,suavecito ahora,null,lenta
adelante,lenta,silla a velocidad normal en este momento ahora,adelante,normal
prendida,detenida,regresate tranqui,atras,lenta
adelante,detenida,hey reduce la velocidad ya por favor,adelante,lenta
prendida,detenida,retrocede con mas velocidad ahora,atras,rapido
prendida,rapido,hey acelera mas de inmediato,null,rapido
prendida,detenida,da reversa ponlo normal,atras,normal
atras,rapido,silla manten velocidad normal ahorita,atras,normal
prendida,detenida,avanza ahora,adelante,null
prendida,normal,por favor acelera ahora,null,rapido
prendida,detenida,gira derecha!,derecha,null
adelante + izquierda,normal,mueve a la derecha ya,adelante,normal
prendida,detenida,recula de inmediato,atras,null
adelante,lenta,hey voltea a la derecha!!,adelante + derecha,lenta
prendida,detenida,hey cierra en corto,apagar,detenida
prendida,lenta,velocidad normal en friega,null,normal
atras,detenida,silla acelera,atras,rapido
adelante,normal,a la izquierda ahora,adelante + izquierda,normal
prendida,detenida,hey ve hacia adelante de inmediato??,adelante,null
prendida,lenta,BAJALE LA VELOCIDAD DE UNA,null,lenta
adelante + derecha,normal,CONTINUA HACIA ADELANTE AHORA,adelante,normal
prendida,rapido,hey hazte para atras!,atras,null
prendida,rapido,POR FAVOR NORMAL!,null,normal
adelante,lenta,silla gira a la izquierda,adelante + izquierda,lenta
derecha,rapido,modo normal.,derecha,normal
prendida,detenida,por favoR cierrA AhOrIta,apagar,detenida
prendida,detenida,hey desactivate ahora,apagar,detenida
prendida,detenida,pa' atras normal,atras,normal
prendida,detenida,hacia atras con cuidado,atras,lenta
atras,normal,manten velocidad normal ya!,atras,normal
apagado,detenida,Prende De Inmediato,prender,detenida
adelante + derecha,normal,izquierda ahorita,adelante,normal
apagado,detenida,prende ahorita de inmediato...,prender,detenida
prendida,detenida,Silla Avanza Un Poco De Inmediato,adelante,null
apagado,detenida,oye arranca,prender,detenida
prendida,detenida,Para Atras,atras,null
prendida,rapido,Reduce La Velocidad De Una,null,lenta
prendida,normal,silla a velocidad normal ahorita,null,normal
prendida,lenta,silla subele la velocidad ahorita,null,rapido
prendida,detenida,por favor gira a la derecha ya,derecha,null
prendida,rapido,Silla Dale Adelante Ahora!!,adelante,null
prendida,detenida,apaga en este momento,apagar,detenida
prendida,detenida,hey muevete adelante,adelante,null
prendida,normal,da reversa,atras,null
apagado,detenida,hey inicia en friega!,prender,detenida
adelante,lenta,oye mueve a la izquierda,adelante + izquierda,lenta
prendida,detenida,retrocede ahora,atras,null
apagado,detenida,por favor activate de una...,prender,detenida
adelante,normal,dErEChA ahoRa,adelante + derecha,normal
adelante,rapido,oye mueve a la izquieRdA,adelante + izquierda,rapido
adelante,rapido,dobla a la derecha.,adelante + derecha,rapido
apagado,detenida,por favor prendete rapido,prender,detenida
prendida,detenida,oye ve hacia atras,atras,null
prendida,detenida,por favor apaga en este momento...,apagar,detenida
prendida,detenida,oye regresate tranqui ya,atras,lenta
